2026-05-07 00:31:02 | INFO     | ai-search | [COMPANY SCRAPING START] https://www.ceramicheorion.it/
2026-05-07 00:31:02 | INFO     | ai-search | [FETCH] Downloading: https://www.ceramicheorion.it/
2026-05-07 00:31:07 | INFO     | ai-search | [FETCH] Success: https://www.ceramicheorion.it/
2026-05-07 00:31:07 | INFO     | ai-search | [HOMEPAGE TEXT EXTRACTED] 4806 characters
2026-05-07 00:31:07 | INFO     | ai-search | [CONTACT PAGE FOUND] https://www.ceramicheorion.it/chi-siamo/
2026-05-07 00:31:07 | INFO     | ai-search | [FETCH] Downloading: https://www.ceramicheorion.it/chi-siamo/
2026-05-07 00:31:09 | INFO     | ai-search | [FETCH] Success: https://www.ceramicheorion.it/chi-siamo/
2026-05-07 00:31:09 | INFO     | ai-search | [CONTACT TEXT EXTRACTED] 2887 characters
2026-05-07 00:31:09 | INFO     | ai-search | [COMPANY SCRAPING END] https://www.ceramicheorion.it/
2026-05-07 00:31:09 | INFO     | ai-search | ================================================================================
2026-05-07 00:31:09 | INFO     | ai-search | ================================================================================
2026-05-07 00:31:09 | INFO     | ai-search | [COMPANY SCRAPING START] https://www.leaceramiche.it/punti-vendita/italia/bari
2026-05-07 00:31:09 | INFO     | ai-search | [FETCH] Downloading: https://www.leaceramiche.it/punti-vendita/italia/bari
2026-05-07 00:31:10 | INFO     | ai-search | [FETCH] Success: https://www.leaceramiche.it/punti-vendita/italia/bari
2026-05-07 00:31:10 | INFO     | ai-search | [HOMEPAGE TEXT EXTRACTED] 3861 characters
2026-05-07 00:31:10 | INFO     | ai-search | [CONTACT PAGE FOUND] https://www.leaceramiche.it/azienda/profilo-aziendale
2026-05-07 00:31:10 | INFO     | ai-search | [FETCH] Downloading: https://www.leaceramiche.it/azienda/profilo-aziendale
2026-05-07 00:31:11 | INFO     | ai-search | [FETCH] Success: https://www.leaceramiche.it/azienda/profilo-aziendale
2026-05-07 00:31:11 | INFO     | ai-search | [CONTACT TEXT EXTRACTED] 4391 characters
2026-05-07 00:31:11 | INFO     | ai-search | [COMPANY SCRAPING END] https://www.leaceramiche.it/punti-vendita/italia/bari
2026-05-07 00:31:11 | INFO     | ai-search | ================================================================================
2026-05-07 00:31:11 | INFO     | ai-search | ================================================================================
2026-05-07 00:31:11 | INFO     | ai-search | [COMPANY SCRAPING START] https://www.pavimentisulweb.it/piastrelle-bari.html
2026-05-07 00:31:11 | INFO     | ai-search | [FETCH] Downloading: https://www.pavimentisulweb.it/piastrelle-bari.html
2026-05-07 00:31:11 | INFO     | ai-search | [FETCH] Success: https://www.pavimentisulweb.it/piastrelle-bari.html
2026-05-07 00:31:11 | INFO     | ai-search | [HOMEPAGE TEXT EXTRACTED] 7832 characters
2026-05-07 00:31:11 | INFO     | ai-search | [CONTACT PAGE FOUND] https://www.pavimentisulweb.it/about.php
2026-05-07 00:31:11 | INFO     | ai-search | [FETCH] Downloading: https://www.pavimentisulweb.it/about.php
2026-05-07 00:31:12 | INFO     | ai-search | [FETCH] Success: https://www.pavimentisulweb.it/about.php
2026-05-07 00:31:12 | INFO     | ai-search | [CONTACT TEXT EXTRACTED] 2013 characters
2026-05-07 00:31:12 | INFO     | ai-search | [COMPANY SCRAPING END] https://www.pavimentisulweb.it/piastrelle-bari.html
2026-05-07 00:31:12 | INFO     | ai-search | ================================================================================
2026-05-07 00:31:12 | INFO     | ai-search | ================================================================================
2026-05-07 00:31:12 | INFO     | ai-search | [COMPANY SCRAPING START] https://www.reteimprese.it/piastrelle-rivestimenti-pavimenti/bari
2026-05-07 00:31:12 | INFO     | ai-search | [FETCH] Downloading: https://www.reteimprese.it/piastrelle-rivestimenti-pavimenti/bari
2026-05-07 00:31:13 | INFO     | ai-search | [FETCH] Success: https://www.reteimprese.it/piastrelle-rivestimenti-pavimenti/bari
2026-05-07 00:31:13 | INFO     | ai-search | [HOMEPAGE TEXT EXTRACTED] 7594 characters
2026-05-07 00:31:13 | INFO     | ai-search | [CONTACT PAGE FOUND] https://www.reteimprese.it/piastrelle-rivestimenti-pavimenti/bari/azienda/319249
2026-05-07 00:31:13 | INFO     | ai-search | [FETCH] Downloading: https://www.reteimprese.it/piastrelle-rivestimenti-pavimenti/bari/azienda/319249
2026-05-07 00:31:13 | INFO     | ai-search | [FETCH] Success: https://www.reteimprese.it/piastrelle-rivestimenti-pavimenti/bari/azienda/319249
2026-05-07 00:31:14 | INFO     | ai-search | [CONTACT TEXT EXTRACTED] 2207 characters
2026-05-07 00:31:14 | INFO     | ai-search | [COMPANY SCRAPING END] https://www.reteimprese.it/piastrelle-rivestimenti-pavimenti/bari
2026-05-07 00:31:14 | INFO     | ai-search | ================================================================================
2026-05-07 00:31:14 | INFO     | ai-search | ================================================================================
2026-05-07 00:31:14 | INFO     | ai-search | [COMPANY SCRAPING START] https://www.europages.it/aziende/italia/bari%20e%20puglia/piastrelle-rivestimenti.html
2026-05-07 00:31:14 | INFO     | ai-search | [FETCH] Downloading: https://www.europages.it/aziende/italia/bari%20e%20puglia/piastrelle-rivestimenti.html
2026-05-07 00:31:15 | INFO     | ai-search | [FETCH] Success: https://www.europages.it/aziende/italia/bari%20e%20puglia/piastrelle-rivestimenti.html
2026-05-07 00:31:15 | INFO     | ai-search | [HOMEPAGE TEXT EXTRACTED] 4655 characters
2026-05-07 00:31:15 | INFO     | ai-search | [CONTACT PAGE FOUND] https://www.visable.com/it_it/chi-siamo/media
2026-05-07 00:31:15 | INFO     | ai-search | [FETCH] Downloading: https://www.visable.com/it_it/chi-siamo/media
2026-05-07 00:31:17 | INFO     | ai-search | [FETCH] Success: https://www.visable.com/it_it/chi-siamo/media
2026-05-07 00:31:17 | INFO     | ai-search | [CONTACT TEXT EXTRACTED] 4246 characters
2026-05-07 00:31:17 | INFO     | ai-search | [COMPANY SCRAPING END] https://www.europages.it/aziende/italia/bari%20e%20puglia/piastrelle-rivestimenti.html
2026-05-07 00:31:17 | INFO     | ai-search | ================================================================================
2026-05-07 00:31:17 | INFO     | ai-search | ================================================================================
2026-05-07 00:31:17 | INFO     | ai-search | [COMPANY SCRAPING START] https://www.quarantasrl.com/
2026-05-07 00:31:17 | INFO     | ai-search | [FETCH] Downloading: https://www.quarantasrl.com/
2026-05-07 00:31:19 | INFO     | ai-search | [FETCH] Success: https://www.quarantasrl.com/
2026-05-07 00:31:19 | INFO     | ai-search | [HOMEPAGE TEXT EXTRACTED] 1232 characters
2026-05-07 00:31:19 | INFO     | ai-search | [CONTACT PAGE FOUND] https://www.quarantasrl.com/azienda/
2026-05-07 00:31:19 | INFO     | ai-search | [FETCH] Downloading: https://www.quarantasrl.com/azienda/
2026-05-07 00:31:20 | INFO     | ai-search | [FETCH] Success: https://www.quarantasrl.com/azienda/
2026-05-07 00:31:20 | INFO     | ai-search | [CONTACT TEXT EXTRACTED] 1447 characters
2026-05-07 00:31:20 | INFO     | ai-search | [COMPANY SCRAPING END] https://www.quarantasrl.com/
2026-05-07 00:31:20 | INFO     | ai-search | ================================================================================
2026-05-07 00:31:20 | INFO     | ai-search | ================================================================================
2026-05-07 00:31:20 | INFO     | ai-search | [COMPANY SCRAPING START] https://www.ceramichesannicola.it/
2026-05-07 00:31:20 | INFO     | ai-search | [FETCH] Downloading: https://www.ceramichesannicola.it/
2026-05-07 00:31:22 | INFO     | ai-search | [FETCH] Success: https://www.ceramichesannicola.it/
2026-05-07 00:31:22 | INFO     | ai-search | [HOMEPAGE TEXT EXTRACTED] 1527 characters
2026-05-07 00:31:22 | INFO     | ai-search | [CONTACT PAGE FOUND] https://www.ceramichesannicola.it/azienda/
2026-05-07 00:31:22 | INFO     | ai-search | [FETCH] Downloading: https://www.ceramichesannicola.it/azienda/
2026-05-07 00:31:26 | INFO     | ai-search | [FETCH] Success: https://www.ceramichesannicola.it/azienda/
2026-05-07 00:31:26 | INFO     | ai-search | [CONTACT TEXT EXTRACTED] 2141 characters
2026-05-07 00:31:26 | INFO     | ai-search | [COMPANY SCRAPING END] https://www.ceramichesannicola.it/
2026-05-07 00:31:26 | INFO     | ai-search | ================================================================================
2026-05-07 00:31:26 | INFO     | ai-search | ================================================================================
2026-05-07 00:31:26 | INFO     | ai-search | [COMPANY SCRAPING START] https://www.iperceramica.it/it/ita/negozi/iperceramica-bari
2026-05-07 00:31:26 | INFO     | ai-search | [FETCH] Downloading: https://www.iperceramica.it/it/ita/negozi/iperceramica-bari
2026-05-07 00:31:26 | ERROR    | ai-search | [FETCH ERROR] https://www.iperceramica.it/it/ita/negozi/iperceramica-bari -> HTTPSConnectionPool(host='www.iperceramica.it', port=443): Max retries exceeded with url: /it/ita/negozi/iperceramica-bari (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)')))
2026-05-07 00:31:26 | WARNING  | ai-search | [SCRAPING FAILED] Could not fetch homepage: https://www.iperceramica.it/it/ita/negozi/iperceramica-bari
2026-05-07 00:31:26 | INFO     | ai-search | [SCRAPE NODE] Successfully scraped 14 websites
2026-05-07 00:31:26 | INFO     | ai-search | [EXTRACT NODE] Extracting data from 14 companies
2026-05-07 00:32:45 | INFO     | ai-search | [EXTRACT NODE] Extracted data for 14 companies
2026-05-07 00:32:45 | INFO     | ai-search | [FINAL ANSWER NODE] Generating final answer with 14 items
2026-05-07 00:32:45 | INFO     | ai-search | [AGENT RUN] Completed pipeline for: 'aziende piastrelle bari'
2026-05-07 00:32:45 | INFO     | ai-search | [API RESPONSE] Query: 'aziende piastrelle bari' - Results: 14
